article-title,article-pmid
Response Perseveration in Stimulant Dependence Is Associated with Striatal Dysfunction and Can Be Ameliorated by a D2/3 Receptor Agonist ,21967987
Automatic Movements in PD patients Effective Connectivity of Neural Networks in Automatic Movements in Parkinson’s Disease,19853664
Additive Routes to Action Learning: Layering Experience Shapes Engagement of the Action Observation Network,26209850
Functional relations of empathy and mentalizing: An fMRI study on the neural basis of cognitive empathy ,20728556
Prospective multi-centre Voxel Based Morphometry study employing scanner specific segmentations: Procedure development using CaliBrain structural MRI data,19445668
Children with cerebral palsy have altered oscillatory activity in the motor and visual cortices during a knee motor task,28560154
Distinct Midbrain and Habenula Pathways Are Involved in Processing Aversive Events in Humans,25568114
Neuromagnetic localization of rhythmic activity in the human brain: a comparison of three methods ,15808975
The five factors of personality and regional cortical variability in the baltimore longitudinal study of aging †,22610513
Modulating effect of COMT genotype on the brain regions underlying proactive control process during inhibition ,23859480
A Common Neural Network for Cognitive Reserve In Verbal and Object Working Memory In Young But Not Old,17675368
Structural and cognitive deficits in remitting and non-remitting recurrent depression: A voxel-based morphometric study ,19931620
Widespread abnormality of the γ-aminobutyric acid-ergic system in Tourette syndrome,22577221
The neural basis for novel semantic categorization ,15627580
Motor deactivation in the human cortex and basal ganglia ,17888686
Association between neuroticism and amygdala responsivity emerges under stressful conditions ,25776217
Functional magnetic resonance imaging of sensorimotor transformations in saccades and antisaccades ,25173413
The left superior temporal gyrus is a shared substrate for auditory short-term memory and speech comprehension: evidence from 210 patients with stroke,19892765
Temporal Processing in Schizophrenia: Effects of Task-Difficulty on Behavioral Discrimination and Neuronal Responses,20674279
A prosocial online game for social cognition training in adolescents with high-functioning autism: an fMRI study,27051288
Emotion-Motion Interactions in Conversion Disorder: An fMRI Study,25859660
Additive genetic effect of APOE and BDNF on hippocampus activity ,24321557
Evidence for Altered Basal Ganglia-Brainstem Connections in Cervical Dystonia,22384048
Late-life obesity is associated with smaller global and regional gray matter volumes: a voxel-based morphometric study,22290540
Altered periaqueductal gray resting state functional connectivity in migraine and the modulation effect of treatment,26839078
Neural Correlates of Reward Processing in Typical and Atypical Development,28503615
Disrupted Functional Connectivity of the Anterior Cingulate Cortex in Cirrhotic Patients without Overt Hepatic Encephalopathy: A Resting State fMRI Study,23308163
Activating Event Knowledge,19298961
The neural substrate of arithmetic operations and procedure complexity ,15722210
The role of negative affectivity and social inhibition in perceiving social threat: An fMRI study ,21315749
The role of inferior frontal gyrus in processing Chinese classifiers ,22414592
Disrupted Functional Connectivity for Controlled Visual Processing as a Basis for Impaired Spatial Working Memory in Schizophrenia,21703287
Preservation of episodic memory in semantic dementia: The importance of regions beyond the medial temporal lobes ,26683384
Pre-Treatment Brain Activation During Stroop Task is Associated with Outcomes in Cocaine Dependent Patients,18635157
"Disorder-specific functional abnormalities during temporal discounting in youth with Attention Deficit Hyperactivity Disorder (ADHD), Autism and comorbid ADHD and Autism ",24929553
Brain regions associated with moment-to-moment adjustments in control and stable task-set maintenance ,21945693
Secure attachment partners attenuate neural responses to social exclusion: An fMRI investigation ,21549767
Stereoscopic depth increases intersubject correlations of brain networks ,24945664
Strategies influence neural activity for feedback learning across child and adolescent development ,25050853
Morphometric Brain Abnormalities in Schizophrenia in a Population-Based Sample: Relationship to Duration of Illness,19015212
Reward Processing in Unipolar and Bipolar Depression: A Functional MRI Study,25881114
The neural basis of visual dominance in the context of audio-visual object processing ,21112404
Using action observation to study superior motor performance: a pilot fMRI study,24348365
Resting cerebral metabolism correlates with skin conductance and functional brain activation during fear conditioning,22207247
Surface Vulnerability of Cerebral Cortex to Major Depressive Disorder,25793287
The neural correlates of object-centered processing in reading: A lesion study of neglect dyslexia ,21982696
Predictors of treatment response to fluvoxamine in obsessive–compulsive disorder: An fMRI study ,19758599
The thickness of posterior cortical areas is related to executive dysfunction in Alzheimer's disease,24473557
Spatial variability of functional brain networks in early-blind and sighted subjects ,24680867
Amygdala Perfusion Is Predicted by Its Functional Connectivity with the Ventromedial Prefrontal Cortex and Negative Affect,24816735
The Simpson's paradox and fMRI: Similarities and differences between functional connectivity measures derived from within-subject and across-subject correlations ,27101735
"Preoperative language lateralization in temporal lobe epilepsy (TLE) predicts peri-ictal, pre- and post-operative language performance: An fMRI study ☆",24179851
Neural Plastic Effects of Working Memory Training Influenced by Self-perceived Stress in Stroke: A Case Illustration,27625614
Auditory Attentional Control and Selection during Cocktail Party Listening,19574393
Impairment of functional integration of the default mode network correlates with cognitive outcome at three months after stroke,25324040
Brain structure and function correlates of cognitive subtypes in schizophrenia,26341950
The effect of visual and musical suspense on brain activation and memory during naturalistic viewing ,28764896
